date,open,high,low,close,volume,market_cap
2021-02-05,36936.65000000,38310.12000000,36570.00000000,38290.24000000,47446256481.71452,706320162928.6615
2021-02-06,38289.32000000,40955.51000000,38215.94000000,39186.94000000,57076868562.48764,732453192636.7231
2021-02-07,39181.01000000,39700.00000000,37351.00000000,38795.69000000,53802559038.8092,723434796637.7434
2021-02-08,38795.69000000,46794.45000000,37988.89000000,46374.87000000,86994225365.2278,862413737410.9171
2021-02-09,46374.86000000,48142.19000000,44961.09000000,46420.42000000,78828431117.05534,867164581003.3563
2021-02-10,46420.42000000,47310.00000000,43727.00000000,44807.58000000,70000356395.81508,839561451461.0575
2021-02-11,44807.58000000,48678.90000000,43994.02000000,47969.51000000,66187179918.887886,890629045243.5952
2021-02-12,47968.66000000,48985.80000000,46125.00000000,47287.60000000,61942185128.99905,880620921496.0787
2021-02-13,47298.15000000,48150.00000000,46202.53000000,47153.69000000,55312381649.33813,874425017687.0778
2021-02-14,47156.78000000,49707.43000000,47014.17000000,48577.79000000,57738376570.131905,905515462576.995
2021-02-15,48580.47000000,49010.92000000,45570.79000000,47911.10000000,61061855793.76279,892345220938.2782
2021-02-16,47911.10000000,50689.18000000,47003.62000000,49133.45000000,64141133353.975624,917339726314.6964
2021-02-17,49133.45000000,52618.74000000,48947.00000000,52119.71000000,68478739131.4286,971516568847.578
2021-02-18,52117.67000000,52530.00000000,50901.90000000,51552.60000000,58486508605.55778,963911356673.4604
2021-02-19,51552.61000000,56368.00000000,50710.20000000,55906.00000000,71397235196.83829,1044189900351.5892
2021-02-20,55906.00000000,57700.46000000,53863.93000000,55841.19000000,77351787996.10461,1050555931433.1447
2021-02-21,55841.19000000,58352.80000000,55477.59000000,57408.57000000,61223272210.96276,1075380337357.9143
2021-02-22,57412.35000000,57508.47000000,47622.00000000,54087.67000000,101532021847.06647,1012091985973.4642
2021-02-23,54087.67000000,54183.59000000,44892.56000000,48891.00000000,116689607925.81473,904133801444.5278
