Date,Open*,High,Low,Close**,Volume,Market Cap
5/2/2021,57797.35,57911.02,56035.25,56578.21,39072664394,1.05785E+12
5/3/2021,56578.21,58981.44,56435,57169.39,54132470274,1.06957E+12
5/4/2021,57169.39,57200,53046.69,53200.01,71296763919,9.99775E+11
5/5/2021,53205.05,58069.82,52900,57436.11,72158368258,1.07097E+12
5/6/2021,57436.11,58360,55200,56393.68,87510802711,1.0568E+12
5/7/2021,56393.68,58650,55241.63,57314.75,68154805947,1.07283E+12
5/8/2021,57315.49,59500,56900,58862.05,66812167538,1.09927E+12
5/9/2021,58866.53,59300,56235.66,58240.84,67906284081,1.0889E+12
5/10/2021,58240.83,59500,53400,55816.14,76672978748,1.04571E+12
5/11/2021,55816.14,56862.43,54370,56670.02,67726708141,1.06499E+12
5/12/2021,56670.02,58000.01,48600,49631.32,75523928654,9.35512E+11
5/13/2021,49537.15,51367.19,46000,49670.97,1.04204E+11,9.34965E+11
5/14/2021,49671.92,51483,48799.75,49841.45,56820196965,9.35963E+11
5/15/2021,49844.16,50700,46555,46762.99,62896879696,8.75321E+11
5/16/2021,46762.99,49795.89,43825.39,46431.5,70636455914,8.71696E+11
5/17/2021,46426.83,46686,42001,43538.04,84054878924,8.19257E+11
5/18/2021,43538.02,45799.29,42250.02,42849.78,65037066859,8.00545E+11
5/19/2021,42849.78,43584.9,30000,36690.09,1.41151E+11,6.97785E+11
5/20/2021,36671.23,42451.67,34850,40526.64,95001812131,7.59679E+11
5/21/2021,40525.39,42200,33488,37252.01,88706010988,6.98763E+11
5/22/2021,37263.35,38829,35200.62,37449.73,61178935274,7.02144E+11
5/23/2021,37458.51,38270.64,31111.01,34655.25,84358034876,6.54559E+11
5/24/2021,34681.44,39920,34031,38796.29,71163197727,7.23143E+11
5/25/2021,38810.99,39791.77,36419.62,38324.72,48724794158,7.15249E+11
5/26/2021,38324.72,40841,37800.44,39241.91,47026386118,7.37669E+11
5/27/2021,39241.92,40411.14,37134.27,38529.98,40836817156,7.23137E+11
5/28/2021,38529.99,38877.83,34684,35663.49,49991590068,6.68522E+11
5/29/2021,35661.79,37338.58,33632.76,34605.15,43184025045,6.5424E+11
5/30/2021,34605.15,36488,33379,35641.27,30650274658,6.68664E+11
5/31/2021,35641.26,37499,34153.84,37253.81,37950798680,6.99139E+11
6/1/2021,37253.82,37894.81,35666,36693.09,33536905028,6.88726E+11
6/2/2021,36694.85,38225,35920,37568.68,31240691604,7.04531E+11
6/3/2021,37568.68,39476,37170,39246.79,33396718845,7.33151E+11
6/4/2021,39246.78,39289.07,35555.15,36829,39345490149,6.91747E+11
6/5/2021,36829.15,37925,34800,35513.2,34068172836,6.62913E+11
6/6/2021,35516.07,36480,35222,35796.31,27689283071,6.71131E+11
6/7/2021,35796.31,36900,33300,33552.79,33345528753,6.26527E+11
6/8/2021,33556.96,34068.01,31000,33380.81,46727462986,6.29019E+11
6/9/2021,33380.8,37534.79,32396.82,37388.05,54511387836,7.05293E+11
6/10/2021,37388.05,38491,35782,36675.72,42952476855,6.91682E+11
6/11/2021,36677.83,37680.4,35936.77,37331.98,36358044263,6.98528E+11
6/12/2021,37331.98,37463.63,34600.36,35546.11,35710196743,6.68149E+11
6/13/2021,35546.12,39380,34757,39020.57,38185633278,7.33403E+11
6/14/2021,39020.56,41064.05,38730,40516.29,45836408439,7.61104E+11
6/15/2021,40516.28,41330,39506.4,40144.04,36706248352,7.56522E+11
6/16/2021,40143.8,40527.14,38116.01,38349.01,36563438890,7.18016E+11
6/17/2021,38349,39559.88,37365,38092.97,36330237284,7.15652E+11
6/18/2021,38092.97,38202.84,35129.29,35819.84,35162612173,6.73762E+11
6/19/2021,35820.48,36457,34803.52,35483.72,28858979692,6.66901E+11
6/20/2021,35483.72,36137.72,33336,35600.16,35609127164,6.70634E+11
6/21/2021,35600.17,35750,31251.23,31608.93,51873870277,5.98336E+11
6/22/2021,31614.12,33298.78,28805,32509.56,57443014758,6.0658E+11
6/23/2021,32509.56,34881,31683,33678.07,39798236962,6.31635E+11
6/24/2021,33675.07,35298,32286.57,34663.09,31862051544,6.5034E+11
6/25/2021,34663.08,35500,31275,31584.45,38635245431,5.98703E+11
6/26/2021,31576.09,32730,30151,32283.65,36873109420,6.00235E+11
6/27/2021,32283.65,34749,31973.45,34700.34,34335452117,6.49262E+11
6/28/2021,34702.49,35297.71,33862.72,34494.89,32453802891,6.47741E+11
6/29/2021,34494.89,36600,34225.43,35911.73,35121257876,6.74231E+11
6/30/2021,35911.72,36100,34017.55,35045,31024153847,6.602E+11
7/1/2021,35045,35057.57,32711,33504.69,29129630236,6.29864E+11
7/2/2021,33502.33,33977.04,32699,33786.55,25084046353,6.33684E+11
7/3/2021,33786.54,34945.61,33316.73,34669.13,22986053605,6.50382E+11
7/4/2021,34669.12,35967.85,34357.15,35286.51,22727930418,6.63572E+11
7/5/2021,35288.13,35293.78,33125.55,33690.14,25894820185,6.36062E+11
7/6/2021,33690.15,35118.88,33532,34220.01,26106856612,6.40406E+11
7/7/2021,34220.02,35059.09,33777.77,33862.12,23692220470,6.36247E+11
7/8/2021,33862.11,33929.64,32077,32875.71,29065577052,6.17862E+11
7/9/2021,32875.71,34100,32261.07,33815.81,24282108111,6.37E+11
7/10/2021,33815.81,34262,33004.78,33502.87,20558304484,6.32186E+11
7/11/2021,33502.87,34666,33306.47,34258.99,17798828844,6.43336E+11
7/12/2021,34259,34678.43,32658.34,33086.63,21683885321,6.23351E+11
7/13/2021,33086.94,33340,32202.25,32729.77,19932531700,6.13002E+11
7/14/2021,32729.12,33114.03,31550,32820.02,21779069066,6.16691E+11
7/15/2021,32820.03,33185.25,31133,31880,21557729227,5.95342E+11
7/16/2021,31874.49,32249.18,31020,31383.87,22671859963,5.88495E+11
7/17/2021,31383.86,31955.92,31164.31,31520.07,17715455995,5.92582E+11
